detected_pump,real_pump,model,1_1,,,1_2,,,2_1,,,2_2,,,3_1,,,3_2,,,3_3,,
2,2,1,-89,-87,-88,,,,,,,,,,,,,-89,-89,-89,,,
4,4,1,,,,-89,-89,-88,-81,-81,-82,-89,-90,-92,-87,-85,-85,-78,-78,-78,,,
3,3,1,,,,,,,-73,-72,-72,,,,-91,-90,-90,,,,,,
3,3,1,,,,,,,-78,-78,-77,-91,-107,-120,-88,-88,-86,-90,-90,-106,,,
4,4,1,,,,-93,-91,-91,-69,-71,-73,-86,-85,-85,-120,-120,-120,-79,-80,-79,,,
2,2,1,-79,-82,-79,,,,,,,,,,,,,-85,-85,-88,,,
3,3,1,,,,,,,-79,-78,-78,,,,-85,-84,-85,-90,-90,-90,,,
5,6,1,,,,-68,-69,-69,,,,,,,,,,-91,-90,-89,,,
3,3,1,,,,,,,-78,-81,-84,-89,-89,-89,-86,-85,-84,-105,-90,-90,,,
3,3,1,,,,,,,-80,-80,-80,-107,-120,-120,-83,-83,-84,-108,-120,-120,,,
5,5,1,,,,-81,-80,-80,,,,,,,,,,-85,-85,-86,,,
1,1,3,-79,-79,-80,-88,-88,-87,,,,,,,-70,-70,-68,,,,,,
5,5,1,,,,-82,-81,-82,,,,,,,,,,-86,-87,-80,,,
5,5,1,,,,-78,-77,-78,,,,,,,,,,-80,-81,-79,,,
5,5,1,-88,-89,-88,-72,-71,-71,,,,,,,,,,-74,-74,-76,-92,-89,-90
5,5,1,,,,-81,-81,-81,,,,,,,,,,-82,-82,-83,,,
5,5,1,,,,-79,-79,-76,,,,,,,,,,-82,-81,-79,,,
5,6,1,-90,-90,-90,-77,-77,-77,,,,,,,,,,-78,-78,-84,-84,-84,-83
5,5,1,-88,-89,-105,-75,-73,-73,,,,,,,,,,-72,-71,-74,-88,-88,-92
7,7,1,,,,-90,-92,-90,-88,-91,-92,-75,-76,-75,-120,-90,-90,-88,-88,-87,-90,-89,-90
2,2,1,-81,-79,-83,-93,-93,-109,,,,,,,,,,-87,-85,-90,,,
4,3,1,,,,,,,-74,-74,-73,,,,-91,-90,-89,-89,-91,-90,,,
5,6,1,-120,-120,-120,-78,-76,-76,-91,-91,-91,,,,,,,-83,-81,-81,-87,-87,-86
5,6,1,-90,-89,-88,-78,-78,-79,,,,,,,,,,-82,-82,-81,-84,-84,-85
5,5,1,-88,-88,-86,-73,-73,-73,,,,,,,,,,-73,-72,-73,,,
3,3,3,,,,,,,-82,-83,-84,,,,-89,-89,-89,,,,,,
4,3,1,-90,-90,-90,,,,-86,-87,-87,,,,-86,-85,-84,-86,-88,-89,,,
3,3,1,,,,,,,-88,-89,-90,-90,-90,-90,-88,-88,-88,-106,-120,-120,,,
3,3,1,,,,,,,-88,-87,-88,-90,-90,-90,-89,-89,-89,-108,-120,-90,,,
